# name,data point type (MP;SP),data point number,acl (r-;-w;rw),dtype (BOOL;INT;FLOAT),min,max
Verd.Abtau Einschaltvz.(Sec),SP,337,r-,INT,0,10800
Luefterverz.(sec),SP,338,r-,INT,0,90
Grenzw.WW_2teStufe,SP,339,r-,INT,10,75
Kuehlgrenze_Hys(K),SP,340,r-,INT,1,20
SDS Anspr.verz.Zeit (sec),SP,341,r-,INT,0,300
SDS Einschaltverz. (sec),SP,342,r-,INT,0,10800
SDS Fehlerwiederh. (24 h),SP,343,r-,INT,0,6
max_Start_Differenzdruck,SP,344,r-,INT,1,40
n Start_Drehzahl (%),SP,345,r-,INT,15,50
n_GW Oel_Rueckfuehrung(%),SP,346,r-,INT,0,30
WW Normaltemp_Gw_max,SP,347,r-,INT,45,75
MKR1 Kuehlen RLT min.,SP,348,r-,INT,5,25
MKR1 Kuehlen Esd dummy,SP,349,r-,INT,0,5
MKR1 Kuehlen Schalthys.,SP,350,r-,INT,1,5
MKR1 Sollhysterese(K),SP,351,r-,INT,1,10
MKR2 Kuehlen RLT min.,SP,352,r-,INT,5,25
MKR2 Kuehlen Esd dummy,SP,353,r-,INT,0,5
MKR2 Kuehlen Schalthys.,SP,354,r-,INT,1,5
MKR2 Sollhysterese(K),SP,355,r-,INT,1,10
HKP PID_P,SP,356,r-,INT,0,10000
HKP PID_I_Tn (sec),SP,357,r-,INT,0,30000
HKP PID_D_Tv (sec),SP,358,r-,INT,0,1000
HKP n_min(%),SP,359,r-,INT,20,100
Legionellenshutz,SP,360,r-,INT,0,2
Legionellenschutz Dauer,SP,361,r-,INT,0,36000
Legionellenschutz Tag,SP,362,r-,INT,0,6
Legionellenschutz Zeitpunkt,SP,363,r-,INT,0,23
Legionellenschutz Temp,SP,364,r-,INT,30,70
Legionellenschutz Laufzeit,SP,365,r-,INT,0,100000
Legionellenschutz WW Zirk.,SP,366,r-,BOOL,0,1
n_min bei Ext Anforderung,SP,367,r-,INT,0,50
n_max bei Ext Anforderung,SP,368,r-,INT,0,100
HKP Ziel_dT,SP,369,r-,INT,0,10
EQP PID_P,SP,370,r-,INT,0,10000
EQP PID_I_Tn (sec),SP,371,r-,INT,0,30000
EQP PID_D_Tv (sec),SP,372,r-,INT,0,1000
EQP n_min(%),SP,373,r-,INT,5,100
EQP Ziel_dT,SP,374,r-,INT,0,10
BSZ Verdichter Schaltung WW,SP,375,r-,INT,0,100000
EXV Fehler 100% (min),SP,376,r-,INT,0,100
FU_ERR Anspr.verz.Zeit (sec),SP,377,r-,INT,0,300
FU_ERR Einschaltverz. (sec),SP,378,r-,INT,0,10800
FU_ERR Fehlerwiederh. (24 h),SP,379,r-,INT,0,6
n_Rampe (ppm),SP,380,r-,INT,1,32000
n bei Kuehlen (%),SP,381,r-,INT,0,100
Abtau RLTmin_WW,SP,382,r-,INT,10,30
Abtau Vorlaufzeit (Sec),SP,383,r-,INT,1,240
Abtauverz.(sec),SP,384,r-,INT,0,120
2.Stufe bei EVU,SP,385,r-,BOOL,0,1
Sauggas Fehler.verz.(Sec),SP,386,r-,INT,0,120
Abtau Exv Start_ND(bar),SP,387,r-,INT,5,15
HKP im Kuehlbetrieb,SP,388,r-,BOOL,0,1
MKP1 im Kuehlbetrieb,SP,389,r-,BOOL,0,1
MKP2 im Kuehlbetrieb,SP,390,r-,BOOL,0,1
HKP VRZ,SP,391,r-,INT,120,420
HKP VRW,SP,392,r-,INT,20,100
EQP VRZ,SP,393,r-,INT,120,420
EQP VRW,SP,394,r-,INT,20,100
S_BSZ Startzeit,SP,395,r-,INT,120701,999000
S_BSZ seit Startzeit,SP,396,r-,INT,0,100000
S_BSZ Jahr1,SP,397,r-,INT,0,100000
S_BSZ Jahr2,SP,398,r-,INT,0,100000
ph_type,SP,399,r-,INT,0,13
WMZ kWh Offset,SP,400,r-,INT,-50,50
Mo (g/s),SP,401,r-,FLOAT,0.0,1000.0
2.Stufe bei Frostanforderung,SP,402,r-,BOOL,0,1
2.Stufe bei AHZP,SP,403,r-,BOOL,0,1
AO2 bei Kuehlanforderung,SP,404,r-,INT,0,100
Externe Anforderung RLTmax,SP,405,r-,INT,10,50
Externe Anforderung RLThys,SP,406,r-,INT,1,5
2.Stufe EXT Betriebsart,SP,407,r-,INT,0,3
2.Stufe EXT Paralell Gw.AT,SP,408,r-,INT,-15,40
2.Stufe EXT Zeitverz. (Sec),SP,409,r-,INT,0,36000
2.Stufe EXT Schalthysterese,SP,410,r-,INT,1,10
2.Stufe EXT Solldifferenz,SP,411,r-,INT,0,10
2.Stufe EXT Gesamtdifferenz,SP,412,r-,INT,0,0
2.Stufe EXT AT Hysterese,SP,413,r-,INT,1,10
2.Stufe EXT Alternativ Gw.AT,SP,414,r-,INT,-15,40
Pairingcode:,SP,415,r-,INT,0,99999
n Start_Drehzahl 2 (%),SP,416,r-,INT,30,60
Verz.Start_Drehzahl 2,SP,417,r-,INT,10,30
